moviename,charactername,time,totaltime,release,chrono
Captain America: Civil War,Ronan the Accuser,0,7.75,13,15
Captain America: Civil War,Sam Wilson,10.25,28,13,15
Captain America: Civil War,Samuel Sterns,0,7.5,13,15
Captain America: Civil War,Savin,0,6,13,15
Captain America: Civil War,Scott Lang,5.5,56,13,15
Captain America: Civil War,Sharon Carter,5,7.5,13,15
Captain America: Civil War,Sif,0,11.5,13,15
Captain America: Civil War,Skurge,0,6.75,13,15
Captain America: Civil War,Steve Rogers,38.25,205.25,13,15
Captain America: Civil War,T'Challa,11.5,11.5,13,15
Captain America: Civil War,Taserface,0,4.25,13,15
Captain America: Civil War,The Collector,0,3.75,13,15
Captain America: Civil War,Thor,0,167.25,13,15
Captain America: Civil War,Tinkerer,0,3.75,13,15
Captain America: Civil War,Tony Stark,37.25,306,13,15
Captain America: Civil War,Trevor Slattery,0,7.5,13,15
Captain America: Civil War,Ultron,0,16.75,13,15
Captain America: Civil War,Valkyrie,0,15.5,13,15
Captain America: Civil War,Vision,7.25,13.5,13,15
Captain America: Civil War,Volstagg,0,10.25,13,15
Captain America: Civil War,Wanda Maximoff,10.75,23,13,15
Captain America: Civil War,Wong,0,7,13,15
Captain America: Civil War,Yondu Udonta,0,22.25,13,15
Captain America: Civil War,Zemo,10.5,10.5,13,15
Captain America: The First Avenger,Adrian Toomes,0,19,5,5
Captain America: The First Avenger,Agent Phil Coulson,0,18.75,5,5
Captain America: The First Avenger,Aldrich Killian,0,12,5,5
Captain America: The First Avenger,Alexander Pierce,0,12.75,5,5
Captain America: The First Avenger,Algrim,0,6.25,5,5
Captain America: The First Avenger,Ancient One,0,17.25,5,5
Captain America: The First Avenger,Arnim Zola,8.25,10.5,5,5
Captain America: The First Avenger,Ayesha,0,3.5,5,5
Captain America: The First Avenger,Baron Mordo,0,17.75,5,5
Captain America: The First Avenger,Betty Ross,0,27,5,5
Captain America: The First Avenger,Bruce Banner,0,112.75,5,5
Captain America: The First Avenger,Bucky Barnes,8,43.5,5,5
Captain America: The First Avenger,Cassandra Lang,0,4.5,5,5
Captain America: The First Avenger,Chester Phillips,9.25,9.25,5,5
Captain America: The First Avenger,Christine Everhart,0,5.25,5,5
Captain America: The First Avenger,Christine Palmer,0,12.75,5,5
Captain America: The First Avenger,Clint Barton,0,32.5,5,5
Captain America: The First Avenger,Col. James Rhodes,0,46.5,5,5
Captain America: The First Avenger,Crossbones,0,8.5,5,5
Captain America: The First Avenger,Darcy Lewis,0,17.25,5,5
Captain America: The First Avenger,Darren Cross,0,14.5,5,5
Captain America: The First Avenger,Dr. Abraham Erskine,8.5,8.5,5,5
Captain America: The First Avenger,Dr. Helen Cho,0,3.25,5,5
Captain America: The First Avenger,Dr. Stephen Strange,0,76.25,5,5
Captain America: The First Avenger,Drax the Destroyer,0,34.5,5,5
Captain America: The First Avenger,Ego the Living Planet,0,17.5,5,5
Captain America: The First Avenger,Emil Blonsky,0,18.5,5,5
Captain America: The First Avenger,Erik Selvig,0,24,5,5
Captain America: The First Avenger,Fandral,0,9.5,5,5
Captain America: The First Avenger,Frigga,0,6,5,5
Captain America: The First Avenger,Gamora,0,55,5,5
Captain America: The First Avenger,Gen. Thaddeus Ross,0,17.75,5,5
Captain America: The First Avenger,Grandmaster,0,6,5,5
Captain America: The First Avenger,Groot,0,29.5,5,5
Captain America: The First Avenger,Hank Pym,0,24.75,5,5
Captain America: The First Avenger,Happy Hogan,0,17.75,5,5
Captain America: The First Avenger,Harley Keener,0,6.25,5,5
Captain America: The First Avenger,Heimdall,0,13.5,5,5
Captain America: The First Avenger,Hela,0,12.25,5,5
Captain America: The First Avenger,Ho Yinsen,0,11,5,5
Captain America: The First Avenger,Hogun,0,8.25,5,5
Captain America: The First Avenger,Hope van Dyne,0,15.75,5,5
Captain America: The First Avenger,Howard Stark,4,8.75,5,5
Captain America: The First Avenger,Ivan Vanko,0,20.75,5,5
Captain America: The First Avenger,Jane Foster,0,46,5,5
Captain America: The First Avenger,Jasper Sitwell,0,5.5,5,5
Captain America: The First Avenger,Johann Schmidt,15.5,15.5,5,5
Captain America: The First Avenger,Justin Hammer,0,16.5,5,5
Captain America: The First Avenger,Kaecilius,0,12.75,5,5
Captain America: The First Avenger,King Laufey,0,3.5,5,5
Captain America: The First Avenger,Korg,0,3.75,5,5
Captain America: The First Avenger,Kraglin,0,6.5,5,5
Captain America: The First Avenger,Laura Barton,0,3.75,5,5
Captain America: The First Avenger,Liz Allan,0,9.75,5,5
Captain America: The First Avenger,Loki,0,75.25,5,5
Captain America: The First Avenger,Luis,0,7,5,5
Captain America: The First Avenger,Malekith the Accursed,0,8.75,5,5
Captain America: The First Avenger,Mantis,0,11,5,5
Captain America: The First Avenger,Maria Hill,0,11.75,5,5
Captain America: The First Avenger,May Parker,0,5,5,5
Captain America: The First Avenger,Maya Hansen,0,8.75,5,5
Captain America: The First Avenger,Natasha Romanoff,0,89,5,5
Captain America: The First Avenger,Nebula,0,15,5,5
Captain America: The First Avenger,Ned Leeds,0,13.75,5,5
Captain America: The First Avenger,Nick Fury,0.5,43.75,5,5
Captain America: The First Avenger,Obadiah Stane,0,22,5,5
Captain America: The First Avenger,Odin,0,23.75,5,5
Captain America: The First Avenger,Paxton,0,4.5,5,5
Captain America: The First Avenger,Peggy Carter,17.25,20.5,5,5
Captain America: The First Avenger,Pepper Potts,0,64,5,5
Captain America: The First Avenger,Peter Parker,0,84.75,5,5
Captain America: The First Avenger,Peter Quill,0,82.5,5,5
Captain America: The First Avenger,Pietro Maximoff,0,10.25,5,5
Captain America: The First Avenger,Raza,0,6,5,5
Captain America: The First Avenger,Rocket Raccoon,0,39.25,5,5
Captain America: The First Avenger,Ronan the Accuser,0,7.75,5,5
Captain America: The First Avenger,Sam Wilson,0,28,5,5
Captain America: The First Avenger,Samuel Sterns,0,7.5,5,5
Captain America: The First Avenger,Savin,0,6,5,5
Captain America: The First Avenger,Scott Lang,0,56,5,5
Captain America: The First Avenger,Sharon Carter,0,7.5,5,5
Captain America: The First Avenger,Sif,0,11.5,5,5
Captain America: The First Avenger,Skurge,0,6.75,5,5
Captain America: The First Avenger,Steve Rogers,56.5,205.25,5,5
Captain America: The First Avenger,T'Challa,0,11.5,5,5
Captain America: The First Avenger,Taserface,0,4.25,5,5
Captain America: The First Avenger,The Collector,0,3.75,5,5
Captain America: The First Avenger,Thor,0,167.25,5,5
Captain America: The First Avenger,Tinkerer,0,3.75,5,5
Captain America: The First Avenger,Tony Stark,0,306,5,5
Captain America: The First Avenger,Trevor Slattery,0,7.5,5,5
Captain America: The First Avenger,Ultron,0,16.75,5,5
Captain America: The First Avenger,Valkyrie,0,15.5,5,5
Captain America: The First Avenger,Vision,0,13.5,5,5
Captain America: The First Avenger,Volstagg,0,10.25,5,5
Captain America: The First Avenger,Wanda Maximoff,0,23,5,5
Captain America: The First Avenger,Wong,0,7,5,5
Captain America: The First Avenger,Yondu Udonta,0,22.25,5,5
Captain America: The First Avenger,Zemo,0,10.5,5,5
